Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12955122,2023-05-31 02:49:35,2020-10-30 15:11:02,30111469,9033440700,30111469,300,2606,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12955/SRR12955122/SRR12955122.lite.1,SRX9408009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624730,SAMN16607304,simple,9606,Homo sapiens,GSM4874869,,,,,,,no,,,,,GEO,SRA1151470,,public,F9A5BFE9DD7294DA39112B607BE41DCE,0F7203BFF530B88BC4179B29EADA5F25
SRR12955123,2023-05-31 02:49:35,2020-10-30 15:11:07,25167301,7550190300,25167301,300,2187,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12955/SRR12955123/SRR12955123.lite.1,SRX9408010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624731,SAMN16609729,simple,9606,Homo sapiens,GSM4874870,,,,,,,no,,,,,GEO,SRA1151470,,public,75E476FE0D34B18FDD15DA38B1FACFC8,4708A95273955B2712512CE9D9A18F38
SRR12955124,2023-05-31 02:49:35,2020-10-30 15:22:01,33661688,10098506400,33661688,300,2936,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12955/SRR12955124/SRR12955124.lite.1,SRX9408011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624732,SAMN16609712,simple,9606,Homo sapiens,GSM4874871,,,,,,,no,,,,,GEO,SRA1151470,,public,CA526025193B9A88B823A8DC0FC273E9,AC516F0AF7B8CE0271E5875BFD34AE85
SRR12955125,2023-05-31 02:49:35,2020-10-30 15:10:27,23068137,6920441100,23068137,300,2020,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12955/SRR12955125/SRR12955125.lite.1,SRX9408012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624733,SAMN16609697,simple,9606,Homo sapiens,GSM4874872,,,,,,,no,,,,,GEO,SRA1151470,,public,A833826B81965B1F2B3D6A41406A7300,AE85CA014AC03F9B43D2DCDF48E28DBF
SRR12955126,2023-05-31 02:49:35,2020-10-30 15:13:33,25400125,7620037500,25400125,300,2218,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12955/SRR12955126/SRR12955126.lite.1,SRX9408013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624735,SAMN16609683,simple,9606,Homo sapiens,GSM4874873,,,,,,,no,,,,,GEO,SRA1151470,,public,465A97BCB9119842DEF4C3D0B8A7569F,07D18C2BC35D7C95B6E9139756AA9D37
SRR12955127,2023-05-31 02:49:35,2020-10-30 15:42:25,55854083,16756224900,55854083,300,4877,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR012/12955/SRR12955127/SRR12955127.lite.1,SRX9408014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624734,SAMN16609667,simple,9606,Homo sapiens,GSM4874874,,,,,,,no,,,,,GEO,SRA1151470,,public,1A09988BC79238E45FF72509C9FDDB83,E84A84EB90701752F8A617E065FDC607
SRR12955128,2023-05-31 02:49:35,2020-10-30 15:17:02,36481392,10944417600,36481392,300,3265,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12955/SRR12955128/SRR12955128.lite.1,SRX9408015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624738,SAMN16609656,simple,9606,Homo sapiens,GSM4874875,,,,,,,no,,,,,GEO,SRA1151470,,public,DC83C35F03911AD70356257334E65DF1,15516ED78400F04CF68A16B38DA27CDE
SRR12955129,2023-05-31 02:49:35,2020-10-30 15:34:16,51371856,15411556800,51371856,300,4611,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12955/SRR12955129/SRR12955129.lite.1,SRX9408016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624736,SAMN16609644,simple,9606,Homo sapiens,GSM4874876,,,,,,,no,,,,,GEO,SRA1151470,,public,184FFD4C272337450DF46D66CEB700C4,2702BE1DBCD0CE360FC819570ECC9D47
SRR12955130,2023-05-31 02:49:35,2020-10-30 15:22:26,31578935,9473680500,31578935,300,2839,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12955/SRR12955130/SRR12955130.lite.1,SRX9408017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624737,SAMN16609633,simple,9606,Homo sapiens,GSM4874877,,,,,,,no,,,,,GEO,SRA1151470,,public,9F0868ADFDC87C7F7BA0340610152482,F574BB6D9C8979625C35D30E39205E3D
SRR12955131,2023-05-31 02:49:35,2020-10-30 15:17:09,28420828,8526248400,28420828,300,2594,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12955/SRR12955131/SRR12955131.lite.1,SRX9408018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP290198,PRJNA673466,3,673466,SRS7624739,SAMN16609621,simple,9606,Homo sapiens,GSM4874878,,,,,,,no,,,,,GEO,SRA1151470,,public,BD3AC3701FED5C7AB6199506FFEAEAEF,F4E40C10DB94DF0444DE5993B6DDC56C
